"","count","basis","prediction","word","rowCount","freq","cumFreq"
"very+ordinariness+makes+them",1,"very+ordinariness+makes","them","very+ordinariness+makes+them",245,0.000945179584120983,0.231568998109642
"ordinariness+makes+them+special",1,"ordinariness+makes+them","special","ordinariness+makes+them+special",246,0.000945179584120983,0.232514177693763
"peter+schiff+hard+to",1,"peter+schiff+hard","to","peter+schiff+hard+to",247,0.000945179584120983,0.233459357277884
"schiff+hard+to+tell",1,"schiff+hard+to","tell","schiff+hard+to+tell",248,0.000945179584120983,0.234404536862005
"hard+to+tell+it",1,"hard+to+tell","it","hard+to+tell+it",249,0.000945179584120983,0.235349716446126
"to+tell+it+will",1,"to+tell+it","will","to+tell+it+will",250,0.000945179584120983,0.236294896030247
"tell+it+will+look",1,"tell+it+will","look","tell+it+will+look",251,0.000945179584120983,0.237240075614368
"it+will+look+pretty",1,"it+will+look","pretty","it+will+look+pretty",252,0.000945179584120983,0.238185255198489
"will+look+pretty+bad",1,"will+look+pretty","bad","will+look+pretty+bad",253,0.000945179584120983,0.23913043478261
"look+pretty+bad+for",1,"look+pretty+bad","for","look+pretty+bad+for",254,0.000945179584120983,0.24007561436673
